taxon,lineage
Saudi_Arabia/KAIMRC-Alghoribi/2020,B.6
Australia/NSW49/2020,B.6
Australia/NSW38/2020,B.6
Taiwan/299/2020,B.6
Taiwan/284/2020,B.6
Canada_MB/2/2020,B.6
USA/CA-QDX-38/2020,B.6
Singapore/99/2020,B.6
Singapore/103/2020,B.6
India_CCMB/J166/2020,B.6
Singapore/230/2020,B.6
Singapore/239/2020,B.6
Singapore/375/2020,B.6
Singapore/387/2020,B.6
Singapore/391/2020,B.6
Singapore/396/2020,B.6
Singapore/399/2020,B.6
Australia/NSW73/2020,B.6
Australia/NSW70/2020,B.6
Australia/NSW72/2020,B.6
Australia/NSW315/2020,B.6
Australia/NSW69/2020,B.6
Australia/NSW71/2020,B.6
Australia/NSW271/2020,B.6
Australia/NSW508/2020,B.6
Australia/NSW68/2020,B.6
Kenya_NIC/266/2020,B.6
Australia/NSW67/2020,B.6
Australia/NSW74/2020,B.6
Australia/SAP153/2020,B.6
Australia/VPRL010/2020,B.6
Australia/NSW59/2020,B.6
Australia/VIC188/2020,B.6
Australia/VIC181/2020,B.6
USA/CA-CZB0145/2020,B.6
Philippines/PGC01/2020,B.6
Australia/VIC767/2020,B.6
Australia/VIC768/2020,B.6
Australia/VIC772/2020,B.6
Australia/VIC773/2020,B.6
Australia/NSW25/2020,B.6
Australia/VIC276/2020,B.6
Australia/VIC251/2020,B.6
Australia/NSW275/2020,B.6
Singapore/96/2020,B.6
Singapore/220/2020,B.6
Australia/VIC237/2020,B.6
Philippines/RITM-03/2020,B.6
Australia/VIC935/2020,B.6
Fujian/IM3520016T/2020,B.6
Fujian/IM3520017T/2020,B.6
Australia/NSW44/2020,B.6
Taiwan/NTU04/2020,B.6
England/EXET-137342/2020,B.6
England/201360492/2020,B.6
India/GMC-KN443/2020,B.6
USA/WA-S537/2020,B.6
Philippines/PGC02/2020,B.6
Philippines/PGC03/2020,B.6
Philippines/PGC05/2020,B.6
Philippines/PGC06/2020,B.6
India_CCMB/C1-12/2020,B.6
India_CCMB/C3-14/2020,B.6
India_CCMB/C2-13/2020,B.6
Thailand/NIH-2294/2020,B.6
Thailand_Bangkok/2294/2020,B.6
Thailand/Bangkok-CONI-0133/2020,B.6
USA/TX-HMH0359/2020,B.6
India/NCDC-02250/2020,B.6
India/NCDC-02331/2020,B.6
India/NCDC-2519/2020,B.6
India/NCDC-4189/2020,B.6
India_CCMB/J021/2020,B.6
India_CCMB/J374/2020,B.6
India_CCMB/J132/2020,B.6
India_CCMB/J131/2020,B.6
India_CCMB/J224/2020,B.6
India_CCMB/J812/2020,B.6
India_CCMB_J812/P1/2020,B.6
India_CCMB_J812/P2/2020,B.6
India_CCMB/J375/2020,B.6
India/NCDC-02311/2020,B.6
India/NCDC-02318/2020,B.6
India/NCDC-02310/2020,B.6
Israel/CVL-n3166/2020,B.6
Israel/CVL-n-5856/2020,B.6
Israel/CVL-n-6132/2020,B.6
Israel/CVL-n-7465/2020,B.6
